"# Export CSV from Simcenter Amesim 2022.1 (encoding=""UTF - 8 - BOM"")",,,,,,,
"Time filename=E214E01752T_R1_211110_081827.data  ""1""","twistlock filename=E214E01752T_R1_211110_081827.data  ""1""","loadedunloaded filename=E214E01752T_R1_211110_081827.data  ""1""","tel.liftpressure filename=E214E01752T_R1_211110_081827.data  ""1""","liftheight filename=E214E01752T_R1_211110_081827.data  ""1""","Ps_liftpressure[barl] filename=E214E01752T_R1_211110_081827.data  ""1""","vehiclespeed filename=E214E01752T_R1_211110_081827.data  ""1""","Loadweight filtered filename=E214E01752T_R1_211110_081827.data  ""1"""
s,null,null,null,null,null,null,kg
2.10E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.39E+01,0.00E+00,2.19E-110
2.11E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.39E+01,0.00E+00,2.33E-110
2.12E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.48E-110
2.13E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.64E-110
2.14E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.81E-110
2.15E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,2.99E-110
2.16E+01,1.00E+00,0.00E+00,5.20E+01,9.52E+02,8.40E+01,0.00E+00,3.19E-110
2.17E+01,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,3.39E-110
2.18E+01,1.00E+00,0.00E+00,5.00E+01,9.52E+02,8.40E+01,0.00E+00,3.62E-110
2.19E+01,1.00E+00,0.00E+00,5.10E+01,9.52E+02,8.40E+01,0.00E+00,3.85E-110
